Suburb,SalePrice
Abbotsford,1112775.0
Abbotsford,1068425.0
Abbotsford,1355615.0
Abbotsford,948830.0
Abbotsford,1524022.0
Abbotsford,1059490.0
Abbotsford,1723580.0
Abbotsford,1522100.0
Abbotsford,429171.0
Abbotsford,1168985.2
Abbotsford,867463.3333333333
Abbotsford,1417750.0
Abbotsford,805555.0
Abbotsford,1109475.0
Abbotsford,428565.1666666666
Abbotsford,1368870.1
Abbotsford,1207980.0
Abbotsford,1230740.0
Abbotsford,1198220.0
Abbotsford,992880.0
Abbotsford,2053250.0
Abbotsford,954330.8333333333
Abbotsford,1528690.0
Abbotsford,537442.119047619
Abbotsford,1110610.0
Abbotsford,1208395.0
Abbotsford,428565.1666666666
Abbotsford,1362520.0
Abbotsford,422773.33333333326
Abbotsford,1117475.0
Abbotsford,1945506.0
Abbotsford,1388405.0
Abbotsford,1272910.0
Abbotsford,442430.0
Abbotsford,1149910.0
Abbotsford,1222235.0
Abbotsford,1031485.0
Abbotsford,1072923.3333333333
Airport West,817610.0
Airport West,748143.3333333335
Airport West,748143.3333333335
Airport West,624682.5
Airport West,759695.0
Airport West,662607.0
Airport West,507815.0
Airport West,819785.0
Airport West,919292.2
Airport West,899870.0
Airport West,464245.0
Airport West,548330.0
Airport West,509925.0
Airport West,894270.0
Airport West,742136.6666666667
Airport West,732575.0
Airport West,511500.0
Airport West,854623.88
Airport West,684305.0
Airport West,848585.0
Airport West,522820.0
Airport West,894300.0
Airport West,680267.5
Airport West,947930.0
Airport West,899580.0
Airport West,819709.98
Airport West,792724.0
Airport West,714640.0
Airport West,796215.0
Airport West,624000.0
Airport West,831440.0
Airport West,728090.0
Airport West,805135.0
Airport West,506470.0
Airport West,767496.6666666665
Airport West,729530.0
Airport West,857388.85
Airport West,756550.0
Airport West,908319.98
Airport West,933630.0
Albert Park,1264490.0
Albert Park,1443780.0
Albert Park,2585300.0
Albert Park,1738650.0
Albert Park,1399030.0
Albert Park,1329265.0
Albert Park,1393995.0
Albert Park,2301675.0
Albert Park,2171285.0
Albert Park,1797850.0
Albert Park,1825660.0
Albert Park,2073530.0
Albert Park,1734650.0
Albert Park,1404655.2
Albert Park,2436570.0
Albert Park,2375560.0
Albert Park,1629890.0
Albert Park,1464516.666666667
Albert Park,1203205.1
Albert Park,2080430.0
Albert Park,1331230.0
Albert Park,1557845.0
Albert Park,2157280.0
Albert Park,1968380.0
Albert Park,2575060.0
Albert Park,2717240.0
Albert Park,625240.8333333333
Albert Park,1869060.0
Albert Park,1958490.0
Albert Park,469563.33333333326
Albert Park,3819140.0
Albert Park,1299215.0
Albert Park,1877400.0
Albert Park,1886780.0
Albert Park,2274525.0
Albert Park,2130620.0
Albert Park,1358420.0
Albert Park,934270.0
Albert Park,2376050.0
Albert Park,1761070.0
Albert Park,1902650.0
Albert Park,844242.5
Alphington,2114680.0
Alphington,1166349.9999999998
Alphington,1448840.0
Alphington,1793750.0
Alphington,3055060.0
Alphington,589370.0
Alphington,863794.0
Alphington,445200.0
Alphington,1700365.0
Alphington,1423150.0
Alphington,873423.0
Alphington,1807850.0
Alphington,2070620.0
Alphington,901310.0
Alphington,445200.0
Alphington,537675.0
Alphington,511290.0
Alphington,1616760.0
Alphington,2040910.0
Alphington,1461665.0
Alphington,1905300.0
Altona,604480.0
Altona,1478675.0
Altona,689690.0
Altona,1059225.0
Altona,891750.0
Altona,1548250.0
Altona,623370.0
Altona,428829.0
Altona,687660.0
Altona,739610.0
Altona,579750.0
Altona,1148040.0
Altona,774320.0
Altona,484512.0
Altona,918175.0
Altona,465702.0
Altona,712146.0
Altona,722740.0
Altona,411713.0
Altona,406862.0
Altona,913850.0
Altona,641790.0
Altona,724950.0
Altona,709955.0
Altona,489052.0
Altona,476022.0
Altona,724950.0
Altona,699070.0
Altona,561362.0
Altona,881180.0
Altona,772105.0
Altona,943040.0
Altona,693580.0
Altona,781040.0
Altona,631170.0
